T = 0.271153
Normalization Constant = 24000.000000

     v        P(v)     Gaussian Fit
-2.787600   0.000000    0.000000
-2.786400   0.000000    0.000000
-2.785200   0.000000    0.000000
-2.784000   0.000000    0.000000
-2.782800   0.000000    0.000000
-2.781600   0.000000    0.000000
-2.780400   0.000000    0.000000
-2.779200   0.000000    0.000000
-2.778000   0.000000    0.000001
-2.776800   0.000000    0.000001
-2.775600   0.000000    0.000001
-2.774400   0.000000    0.000001
-2.773200   0.000000    0.000001
-2.772000   0.000000    0.000001
-2.770800   0.000000    0.000001
-2.769600   0.000000    0.000001
-2.768400   0.000000    0.000001
-2.767200   0.000000    0.000001
-2.766000   0.000000    0.000001
-2.764800   0.000000    0.000001
-2.763600   0.000000    0.000001
-2.762400   0.000000    0.000001
-2.761200   0.000000    0.000001
-2.760000   0.000000    0.000001
-2.758800   0.000000    0.000001
-2.757600   0.000000    0.000001
-2.756400   0.000000    0.000001
-2.755200   0.000000    0.000001
-2.754000   0.000000    0.000001
-2.752800   0.000000    0.000001
-2.751600   0.000000    0.000001
-2.750400   0.000000    0.000001
-2.749200   0.000000    0.000001
-2.748000   0.000000    0.000001
-2.746800   0.000000    0.000001
-2.745600   0.000000    0.000001
-2.744400   0.000000    0.000001
-2.743200   0.000000    0.000001
-2.742000   0.000000    0.000001
-2.740800   0.000000    0.000001
-2.739600   0.000000    0.000001
-2.738400   0.000000    0.000001
-2.737200   0.000000    0.000001
-2.736000   0.000000    0.000001
-2.734800   0.000000    0.000001
-2.733600   0.000000    0.000001
-2.732400   0.000000    0.000001
-2.731200   0.000000    0.000001
-2.730000   0.000000    0.000001
-2.728800   0.000000    0.000001
-2.727600   0.000000    0.000001
-2.726400   0.000000    0.000001
-2.725200   0.000000    0.000001
-2.724000   0.000000    0.000001
-2.722800   0.000000    0.000001
-2.721600   0.000000    0.000001
-2.720400   0.000000    0.000001
-2.719200   0.000000    0.000001
-2.718000   0.000000    0.000001
-2.716800   0.000000    0.000001
-2.715600   0.000000    0.000001
-2.714400   0.000000    0.000001
-2.713200   0.000000    0.000001
-2.712000   0.000000    0.000001
-2.710800   0.000000    0.000001
-2.709600   0.000000    0.000001
-2.708400   0.000000    0.000001
